U+1E80  Ẁ  \xe1\xba\x80
U+1E81  ẁ  \xe1\xba\x81
U+1E82  Ẃ  \xe1\xba\x82
U+1E83  ẃ  \xe1\xba\x83
U+1E84  Ẅ  \xe1\xba\x84
U+1E85  ẅ  \xe1\xba\x85
U+1E86  Ẇ  \xe1\xba\x86
U+1E87  ẇ  \xe1\xba\x87
U+1E88  Ẉ  \xe1\xba\x88
U+1E89  ẉ  \xe1\xba\x89
U+1E8A  Ẋ  \xe1\xba\x8a
U+1E8B  ẋ  \xe1\xba\x8b
U+1E8C  Ẍ  \xe1\xba\x8c
U+1E8D  ẍ  \xe1\xba\x8d
U+1E8E  Ẏ  \xe1\xba\x8e
U+1E8F  ẏ  \xe1\xba\x8f
U+1E90  Ẑ  \xe1\xba\x90
U+1E91  ẑ  \xe1\xba\x91
U+1E92  Ẓ  \xe1\xba\x92
U+1E93  ẓ  \xe1\xba\x93
U+1E94  Ẕ  \xe1\xba\x94
U+1E95  ẕ  \xe1\xba\x95
U+1E96  ẖ  \xe1\xba\x96
U+1E97  ẗ  \xe1\xba\x97
U+1E98  ẘ  \xe1\xba\x98
U+1E99  ẙ  \xe1\xba\x99
U+1E9A  ẚ  \xe1\xba\x9a
U+1E9B  ẛ  \xe1\xba\x9b
U+1E9C  ẜ  \xe1\xba\x9c
U+1E9D  ẝ  \xe1\xba\x9d
U+1E9E  ẞ  \xe1\xba\x9e
U+1E9F  ẟ  \xe1\xba\x9f
U+1EA0  Ạ  \xe1\xba\xa0
U+1EA1  ạ  \xe1\xba\xa1
U+1EA2  Ả  \xe1\xba\xa2
U+1EA3  ả  \xe1\xba\xa3
U+1EA4  Ấ  \xe1\xba\xa4
U+1EA5  ấ  \xe1\xba\xa5
U+1EA6  Ầ  \xe1\xba\xa6
U+1EA7  ầ  \xe1\xba\xa7
U+1EA8  Ẩ  \xe1\xba\xa8
U+1EA9  ẩ  \xe1\xba\xa9
U+1EAA  Ẫ  \xe1\xba\xaa
U+1EAB  ẫ  \xe1\xba\xab
U+1EAC  Ậ  \xe1\xba\xac
U+1EAD  ậ  \xe1\xba\xad
U+1EAE  Ắ  \xe1\xba\xae
U+1EAF  ắ  \xe1\xba\xaf
U+1EB0  Ằ  \xe1\xba\xb0
U+1EB1  ằ  \xe1\xba\xb1
U+1EB2  Ẳ  \xe1\xba\xb2
U+1EB3  ẳ  \xe1\xba\xb3
U+1EB4  Ẵ  \xe1\xba\xb4
U+1EB5  ẵ  \xe1\xba\xb5
U+1EB6  Ặ  \xe1\xba\xb6
U+1EB7  ặ  \xe1\xba\xb7
U+1EB8  Ẹ  \xe1\xba\xb8
U+1EB9  ẹ  \xe1\xba\xb9
U+1EBA  Ẻ  \xe1\xba\xba
U+1EBB  ẻ  \xe1\xba\xbb
U+1EBC  Ẽ  \xe1\xba\xbc
U+1EBD  ẽ  \xe1\xba\xbd
U+1EBE  Ế  \xe1\xba\xbe
U+1EBF  ế  \xe1\xba\xbf
U+1EC0  Ề  \xe1\xbb\x80
U+1EC1  ề  \xe1\xbb\x81
U+1EC2  Ể  \xe1\xbb\x82
U+1EC3  ể  \xe1\xbb\x83
U+1EC4  Ễ  \xe1\xbb\x84
U+1EC5  ễ  \xe1\xbb\x85
U+1EC6  Ệ  \xe1\xbb\x86
U+1EC7  ệ  \xe1\xbb\x87
U+1EC8  Ỉ  \xe1\xbb\x88
U+1EC9  ỉ  \xe1\xbb\x89
U+1ECA  Ị  \xe1\xbb\x8a
U+1ECB  ị  \xe1\xbb\x8b
U+1ECC  Ọ  \xe1\xbb\x8c
U+1ECD  ọ  \xe1\xbb\x8d
U+1ECE  Ỏ  \xe1\xbb\x8e
U+1ECF  ỏ  \xe1\xbb\x8f
U+1ED0  Ố  \xe1\xbb\x90
U+1ED1  ố  \xe1\xbb\x91
U+1ED2  Ồ  \xe1\xbb\x92
U+1ED3  ồ  \xe1\xbb\x93
U+1ED4  Ổ  \xe1\xbb\x94
U+1ED5  ổ  \xe1\xbb\x95
U+1ED6  Ỗ  \xe1\xbb\x96
U+1ED7  ỗ  \xe1\xbb\x97
U+1ED8  Ộ  \xe1\xbb\x98
U+1ED9  ộ  \xe1\xbb\x99
U+1EDA  Ớ  \xe1\xbb\x9a
U+1EDB  ớ  \xe1\xbb\x9b
U+1EDC  Ờ  \xe1\xbb\x9c
U+1EDD  ờ  \xe1\xbb\x9d
U+1EDE  Ở  \xe1\xbb\x9e
U+1EDF  ở  \xe1\xbb\x9f
U+1EE0  Ỡ  \xe1\xbb\xa0
U+1EE1  ỡ  \xe1\xbb\xa1
U+1EE2  Ợ  \xe1\xbb\xa2
U+1EE3  ợ  \xe1\xbb\xa3
